id0,id,text
265,280,неловко
466,517,больше
473,526,быстро
646,744,бесплатно
1018,1186,действительно
1266,1500,идеально
1574,1847,кратко
1633,1921,легко
1681,1975,лучше
1694,1990,мало
1723,2021,медленно
1874,2186,напрасно
1938,2255,неправильно
1963,2280,нормально
2024,2349,обычно
2098,2434,особенно
2166,2507,охотно
2293,2646,плохо
2384,2743,полностью
2420,2783,последовательно
2427,2790,постепенно
2917,3331,серьезно
2930,3345,сильно
2972,3388,слегка
3175,3612,так себе
3258,3705,трудно
3299,3752,удачно
3447,3911,хуже
3480,3946,честно